# Phase C work queue: the runtime diagnostics nothing provokes (reach.py --list ejecución, 2026-09-14).
# status: todo | cell (provoked + met by a cell) | manual (provoked by hand; a cell cannot ask it, the command is in `note`) | unreachable (with a reason in `note`) | n/a
# class:  diagnostic | internal? (suspected unreachable, to be confirmed) | fragment (part of another message) | test (a test's own string)
status	class	family	message	where	note
n/a	test	-	VM outputpos	zymbol-interpreter/tests/e2e.rs:1765	
n/a	test	-	VM terminal size	zymbol-interpreter/tests/e2e.rs:1758	
n/a	test	-	cannot compare	zymbol-interpreter/tests/e2e.rs:1453	
n/a	test	-	cannot convert string	zymbol-interpreter/tests/e2e.rs:1445	
n/a	test	-	caught error\n	zymbol-interpreter/tests/e2e.rs:453	
n/a	test	-	error caught\n	zymbol-interpreter/tests/e2e.rs:478	
n/a	test	-	expected 'non-negative' in error, got: {err}	zymbol-interpreter/tests/e2e.rs:1831	
n/a	test	-	unexpected error message: {msg}	zymbol-interpreter/tests/e2e.rs:1215	
cell	diagnostic	C10-std	io::delete: expected String path	zymbol-interpreter/src/stdlib/io.rs:102	runtime-std/io-delete-expected-string-path
cell	diagnostic	C10-std	io::exists: expected String path	zymbol-interpreter/src/stdlib/io.rs:80	runtime-std/io-exists-expected-string-path
cell	diagnostic	C10-std	io::list: expected String path	zymbol-interpreter/src/stdlib/io.rs:122	runtime-std/io-list-expected-string-path
cell	diagnostic	C10-std	io::mkdir: expected String path	zymbol-interpreter/src/stdlib/io.rs:136	runtime-std/io-mkdir-expected-string-path
cell	diagnostic	C10-std	io::read: expected String path	zymbol-interpreter/src/stdlib/io.rs:31	runtime-std/io-read-expected-string-path
cell	diagnostic	C10-std	json::decode: expected String	zymbol-interpreter/src/stdlib/json.rs:83	runtime-std/json-decode-expected-string
cell	diagnostic	C10-std	json::decode_map: expected String as the first argument	zymbol-interpreter/src/stdlib/json.rs:150	runtime-std/json-decode-map-expected-string-as-the
cell	diagnostic	C10-std	json::decode_map: expected a NamedTuple map as the second argument	zymbol-interpreter/src/stdlib/json.rs:116	runtime-std/json-decode-map-expected-a-namedtuple-map
cell	diagnostic	C10-std	json::decode_map: map value for '{}' must be a String (the new name)	zymbol-interpreter/src/stdlib/json.rs:105	runtime-std/json-decode-map-map-value-for-must
cell	diagnostic	C10-std	mat::acos: argument must be in [-1, 1]	zymbol-interpreter/src/stdlib/math.rs:95	runtime-std/mat-acos-argument-must-be-in-1
cell	diagnostic	C10-std	mat::asin: argument must be in [-1, 1]	zymbol-interpreter/src/stdlib/math.rs:85	runtime-std/mat-asin-argument-must-be-in-1
cell	diagnostic	C10-std	mat::ln: argument must be positive	zymbol-interpreter/src/stdlib/math.rs:54	runtime-std/mat-ln-argument-must-be-positive
cell	diagnostic	C10-std	mat::log: x and base must be positive; base ≠ 1	zymbol-interpreter/src/stdlib/math.rs:184	runtime-std/mat-log-x-and-base-must-be
cell	diagnostic	C10-std	net::get: expected String url	zymbol-interpreter/src/stdlib/net.rs:79	runtime-std/net-get-expected-string-url
cell	diagnostic	C10-std	net::head: expected String url	zymbol-interpreter/src/stdlib/net.rs:134	runtime-std/net-head-expected-string-url
cell	diagnostic	C10-std	random::entero: expected (###, ###) with max >= min	zymbol-interpreter/src/stdlib/random.rs:57	runtime-std/random-entero-expected-int-cast-int-cast
cell	diagnostic	C10-std	random::rango: expected positive ###	zymbol-interpreter/src/stdlib/random.rs:69	runtime-std/random-rango-expected-positive-int-cast
cell	diagnostic	C10-std	term::width: expected a String or Char, got {got}	zymbol-interpreter/src/stdlib/term.rs:84	runtime-std/term-width-expected-a-string-or-char
cell	diagnostic	C10-std	time::of: expected (year, month, day) or (year, month, day, hour, minute, second), each ###, plus an optional zone	zymbol-vm/src/stdlib_builtins.rs:1150	runtime-std/time-of-expected-year-month-day-or
cell	diagnostic	C10-std	time::today: expected an optional zone String	zymbol-vm/src/stdlib_builtins.rs:1127	runtime-std/time-today-expected-an-optional-zone-string
cell	diagnostic	C10-std	{}: headers must be an Array of (String, String) tuples	zymbol-interpreter/src/stdlib/net.rs:39	runtime-std/headers-must-be-an-array-of-string
unreachable	internal?	C10-std	unknown builtin id {}	zymbol-vm/src/stdlib_builtins.rs:1346	unreachable: the compiler assigns builtin ids from the same table the VM dispatches on (stdlib_module_builtins)
cell	diagnostic	C11-std-db	db: cannot bind {:?} as a parameter	zymbol-interpreter/src/stdlib/db.rs:159	runtime-std-db/cannot-bind-a-function
cell	diagnostic	C11-std-db	db: expected String {}	zymbol-interpreter/src/stdlib/db.rs:119	runtime-std-db/name-must-be-a-string
cell	diagnostic	C11-std-db	db: params must be a Tuple, Array, or scalar	zymbol-interpreter/src/stdlib/db.rs:140	runtime-std-db/params-must-be-a-tuple-array-or-scalar
cell	diagnostic	C11-std-db	db::tx: each statement is (String sql, Array params)	zymbol-interpreter/src/stdlib/db.rs:405	runtime-std-db/tx-statement-is-sql-and-params
cell	diagnostic	C11-std-db	db::tx: each statement must be a (sql, params) tuple	zymbol-interpreter/src/stdlib/db.rs:410	runtime-std-db/tx-statement-must-be-a-tuple
cell	diagnostic	C11-std-db	db::tx: statements must be an Array	zymbol-interpreter/src/stdlib/db.rs:394	runtime-std-db/tx-statements-must-be-an-array
cell	diagnostic	C11-std-db	invalid savepoint name '{}'	zymbol-interpreter/src/stdlib/db.rs:499	runtime-std-db/invalid-savepoint-name-is-soft — soft: a value, never a diagnostic line, so reach.py cannot count it
cell	diagnostic	C11-std-db	query_one matched no rows	zymbol-interpreter/src/stdlib/db.rs:90	runtime-std-db/query-one-no-rows-is-soft — soft: a value, never a diagnostic line, so reach.py cannot count it
cell	diagnostic	C11-std-db	transaction already active (use savepoints to nest)	zymbol-interpreter/src/stdlib/db.rs:447	runtime-std-db/transaction-already-active-is-soft — soft: a value, never a diagnostic line, so reach.py cannot count it
cell	diagnostic	C11-std-db	unknown connection '{}'	zymbol-interpreter/src/stdlib/db.rs:109	runtime-std-db/unknown-connection-is-soft — soft: a value, never a diagnostic line, so reach.py cannot count it
unreachable	internal?	C11-std-db	std/db is not available in this build (compiled without ODBC support)	zymbol-vm/src/stdlib_builtins.rs:1376	unreachable in this build: compiled only when the binary is built without the ODBC feature
unreachable	internal?	C11-std-db	unknown db builtin id {}	zymbol-vm/src/stdlib_builtins.rs:1368	unreachable: the compiler assigns db builtin ids from the same table db_dispatch matches on
cell	diagnostic	C12-io-tui	>>~ slot expects Int, got {}	zymbol-interpreter/src/io.rs:249	runtime-io/positioned-output-slot-must-be-int
cell	diagnostic	C12-io-tui	end of input while waiting for {}	zymbol-interpreter/src/io.rs:111	runtime-io/end-of-input (met: error-flow/input-eof-is-catchable)
cell	diagnostic	C12-io-tui	failed to enable raw mode: {}	zymbol-interpreter/src/io.rs:296	runtime-io/alternate-screen-without-a-terminal
unreachable	diagnostic	C12-io-tui	failed to enter alternate screen: {}	zymbol-interpreter/src/io.rs:300	unreachable from a program: raw mode has to succeed on a terminal that then refuses the alternate screen
manual	diagnostic	C12-io-tui	input read error: {}	zymbol-interpreter/src/io.rs:103	reached by hand, no cell: `printf '\xff\xfe\n' | zymbol run f.zy` with `<< n` -> `input read error: stream did not contain valid UTF-8` (the VM reads it as end of input); a ZyDDT cell cannot give stdin
unreachable	diagnostic	C12-io-tui	input: failed to disable raw mode: {}	zymbol-interpreter/src/io.rs:89	unreachable from a program: needs input inside `>>|` on a terminal that then fails to leave raw mode
unreachable	diagnostic	C12-io-tui	input: failed to restore raw mode: {}	zymbol-interpreter/src/io.rs:98	unreachable from a program: needs input inside `>>|` on a terminal that then fails to re-enter raw mode
manual	diagnostic	C12-io-tui	io error: {0}	zymbol-interpreter/src/lib.rs:50	reached by hand, no cell: `zymbol run f.zy | head -1` with a program printing 20000 lines -> `io error: Broken pipe (os error 32)`; a ZyDDT cell cannot close stdout
unreachable	diagnostic	C12-io-tui	undefined variable in input prompt: '{}'	zymbol-interpreter/src/io.rs:63	unreachable since 2026-09-15: an undefined `{name}` is a static error (GLB-018 A), so the analyzer refuses the prompt before this runtime check; kept as a backstop. The cell runtime-io/undefined-variable-in-input-prompt now asserts the static refusal
cell	diagnostic	C8-match-patterns	  --> consider assigning to a variable: `result = ?? expr {{ ... }}`	zymbol-interpreter/src/match_stmt.rs:36	runtime-match-patterns/match-with-values-used-as-a-statement — reach.py cannot count it: a `-->` continuation line is not a diagnostic line
unreachable	diagnostic	C13-operators-variables-internal	'{}' is undefined — did you mean '{}°' (hot definition)?	zymbol-compiler/src/lib.rs:2139	unreachable from the CLI: the analyzer reports `undefined variable` first; the compiler's RaiseError is a backstop for running without analysis
cell	diagnostic	C13-operators-variables-internal	cannot compare float {} with string '{}' using operator '{:?}'	zymbol-interpreter/src/arithmetic_ops.rs:412	runtime-operators/cannot-compare-float-with-string
cell	diagnostic	C13-operators-variables-internal	cannot compare string '{}' with float {} using operator '{:?}'	zymbol-interpreter/src/arithmetic_ops.rs:395	runtime-operators/cannot-compare-string-with-float
unreachable	diagnostic	C13-operators-variables-internal	cannot reassign constant '{}' (declared with :=)	zymbol-interpreter/src/variables.rs:78	unreachable from the CLI: the analyzer refuses `C = …` and `(C, d) = …` first (`cannot reassign constant 'C'`) — but see GLB-020: `<< C` and `@ C:…` overwrite a constant with no error at all
cell	diagnostic	C13-operators-variables-internal	constant '{}' already declared	zymbol-interpreter/src/variables.rs:321	runtime-operators/constant-already-declared
cell	diagnostic	C13-operators-variables-internal	logical NOT requires boolean operand, got {}	zymbol-interpreter/src/expressions.rs:270	runtime-operators/logical-not-requires-a-boolean
cell	diagnostic	C13-operators-variables-internal	modulo by zero	zymbol-interpreter/src/arithmetic_ops.rs:144	runtime-operators/modulo-by-zero
cell	diagnostic	C13-operators-variables-internal	negation requires numeric operand, got {}	zymbol-interpreter/src/expressions.rs:280	runtime-operators/negation-requires-a-number
cell	diagnostic	C13-operators-variables-internal	this needs {expected} and got {got}	zymbol-vm/src/lib.rs:536	provoked by the VM in runtime-collection-ops and runtime-index-nav (its TypeError display)
cell	diagnostic	C13-operators-variables-internal	unary plus requires numeric operand, got {:?}	zymbol-interpreter/src/expressions.rs:290	runtime-operators/unary-plus-requires-a-number
unreachable	internal?	C9-modules-scripts	Module '{}' not loaded	zymbol-interpreter/src/expr_eval.rs:156	unreachable: an alias is registered only after its module loaded (modules.rs:75, :319), so the lookup cannot miss
unreachable	internal?	C13-operators-variables-internal	ZyStr requires a 64-bit platform	zymbol-vm/src/zy_str.rs:31	unreachable on the supported platforms: a size assertion on usize
unreachable	internal?	C13-operators-variables-internal	internal: use of '{}' after auto-destruction (string interpolation) — this is a bug in the last-use analyzer, please report it	zymbol-interpreter/src/literals.rs:60	unreachable by design: raised only if the last-use analyzer is wrong — the message says so
unreachable	internal?	C13-operators-variables-internal	internal: use of '{}' after auto-destruction — this is a bug in the last-use analyzer, please report it (workaround: add a later `>> {}` mention or a `\\ {}` at the intended end of life)	zymbol-interpreter/src/lib.rs:1362	unreachable by design: raised only if the last-use analyzer is wrong — the message says so
unreachable	internal?	C13-operators-variables-internal	unknown error	zymbol-vm/src/lib.rs:3529	unreachable: TryLand's fallback when nothing is in flight, and TryLand is only reached through raise!, which always sets it
unreachable	internal?	C13-operators-variables-internal	unsupported binary operator: {:?}	zymbol-interpreter/src/expressions.rs:255	unreachable: only Pipe, Comma and Range reach that arm, and the parser never builds an Expr::Binary with any of them
cell	diagnostic	C3-collection-ops	$* repetition count must be an integer, got {}	zymbol-interpreter/src/string_ops.rs:35	runtime-collection-ops/repeat-repetition-count-must-be-an-integer
cell	diagnostic	C3-collection-ops	$* repetition count must be non-negative, got {}	zymbol-interpreter/src/string_ops.rs:31	runtime-collection-ops/repeat-repetition-count-must-be-non-negative
cell	diagnostic	C3-collection-ops	$+ is not supported on named tuples — no field name available	zymbol-interpreter/src/collection_ops.rs:87	runtime-collection-ops/append-is-not-supported-on-named-tuples
cell	diagnostic	C3-collection-ops	$+ on string requires char or string element, got {:?}	zymbol-interpreter/src/collection_ops.rs:95	runtime-collection-ops/append-on-string-requires-char-or-string
cell	diagnostic	C3-collection-ops	$++ requires a string or array as base, got {:?}	zymbol-interpreter/src/string_ops.rs:184	runtime-collection-ops/build-requires-a-string-or-array-as
cell	diagnostic	C3-collection-ops	$+[i] index must be an integer, got {:?}	zymbol-interpreter/src/collection_ops.rs:829	runtime-collection-ops/insert-index-must-be-an-integer-got
cell	diagnostic	C3-collection-ops	$+[i] index must be positive (1-based, use 1 to insert at the beginning), got {}	zymbol-interpreter/src/collection_ops.rs:835	runtime-collection-ops/insert-index-must-be-positive-1-based
cell	diagnostic	C3-collection-ops	$+[i] is not supported on named tuples — no field name available	zymbol-interpreter/src/collection_ops.rs:863	runtime-collection-ops/insert-is-not-supported-on-named-tuples
cell	diagnostic	C3-collection-ops	$+[i] on string requires char or string element, got {:?}	zymbol-interpreter/src/collection_ops.rs:884	runtime-collection-ops/insert-on-string-requires-char-or-string
cell	diagnostic	C3-collection-ops	$+[i] requires an array, tuple, or string, got {:?}	zymbol-interpreter/src/collection_ops.rs:890	runtime-collection-ops/insert-requires-an-array-tuple-or-string
cell	diagnostic	C3-collection-ops	$+[{}] index out of bounds for array of length {}	zymbol-interpreter/src/collection_ops.rs:845	runtime-collection-ops/append-index-out-of-bounds-for-array
cell	diagnostic	C3-collection-ops	$+[{}] index out of bounds for string of length {}	zymbol-interpreter/src/collection_ops.rs:870	runtime-collection-ops/append-index-out-of-bounds-for-string
cell	diagnostic	C3-collection-ops	$+[{}] index out of bounds for tuple of length {}	zymbol-interpreter/src/collection_ops.rs:855	runtime-collection-ops/append-index-out-of-bounds-for-tuple
cell	diagnostic	C3-collection-ops	$- on string requires char or string value, got {:?}	zymbol-interpreter/src/collection_ops.rs:946	runtime-collection-ops/remove-on-string-requires-char-or-string
cell	diagnostic	C3-collection-ops	$- requires an array, tuple, or string, got {:?}	zymbol-interpreter/src/collection_ops.rs:953	runtime-collection-ops/remove-requires-an-array-tuple-or-string
cell	diagnostic	C3-collection-ops	$-- on string requires char or string value, got {:?}	zymbol-interpreter/src/collection_ops.rs:992	runtime-collection-ops/remove-all-on-string-requires-char-or
cell	diagnostic	C3-collection-ops	$-- requires an array, tuple, or string, got {:?}	zymbol-interpreter/src/collection_ops.rs:999	runtime-collection-ops/remove-all-requires-an-array-tuple-or
cell	diagnostic	C3-collection-ops	$-[..] count must be non-negative, got {}	zymbol-interpreter/src/collection_ops.rs:1048	runtime-collection-ops/remove-range-count-must-be-non-negative
cell	diagnostic	C3-collection-ops	$-[..] end must be an integer, got {:?}	zymbol-interpreter/src/collection_ops.rs:1055	runtime-collection-ops/remove-range-end-must-be-an-integer
cell	diagnostic	C3-collection-ops	$-[..] requires an array, tuple, or string, got {:?}	zymbol-interpreter/src/collection_ops.rs:1015	runtime-collection-ops/remove-range-requires-an-array-tuple-or
cell	diagnostic	C3-collection-ops	$-[..] start must be an integer, got {:?}	zymbol-interpreter/src/collection_ops.rs:1030	runtime-collection-ops/remove-range-start-must-be-an-integer
cell	diagnostic	C3-collection-ops	$-[..end] end must be positive (1-based), got {}	zymbol-interpreter/src/collection_ops.rs:1042	runtime-collection-ops/remove-range-end-end-must-be-positive
cell	diagnostic	C3-collection-ops	$-[start..] start must be positive (1-based), got {}	zymbol-interpreter/src/collection_ops.rs:1024	runtime-collection-ops/remove-range-start-start-must-be-positive
cell	diagnostic	C3-collection-ops	$-[start..end]: start ({}) cannot be greater than end ({})	zymbol-interpreter/src/collection_ops.rs:1066	runtime-collection-ops/remove-range-start-cannot-be-greater-than
cell	diagnostic	C3-collection-ops	$-[{}..{}] out of bounds for collection of length {}	zymbol-interpreter/src/collection_ops.rs:1196	runtime-collection-ops/remove-range-out-of-bounds-for-collection
cell	diagnostic	C3-collection-ops	$-[{}:{}] out of bounds for collection of length {}	zymbol-interpreter/src/collection_ops.rs:1191	runtime-collection-ops/remove-count-out-of-bounds-for-collection
cell	diagnostic	C3-collection-ops	$/ delimiter must be a char or string, got {:?}	zymbol-interpreter/src/string_ops.rs:207	runtime-collection-ops/split-delimiter-must-be-a-char-or
cell	diagnostic	C3-collection-ops	$/ requires a string on the left, got {:?}	zymbol-interpreter/src/string_ops.rs:198	runtime-collection-ops/split-requires-a-string-on-the-left
cell	diagnostic	C3-collection-ops	$?? on string requires char or string value, got {:?}	zymbol-interpreter/src/collection_ops.rs:1148	runtime-collection-ops/find-all-on-string-requires-char-or
cell	diagnostic	C3-collection-ops	$?? requires an array, tuple, or string, got {:?}	zymbol-interpreter/src/collection_ops.rs:1159	runtime-collection-ops/find-all-requires-an-array-tuple-or
cell	diagnostic	C3-collection-ops	$~ writes into a collection, and this is {}\nhelp: use a[1]$~ v on an array or tuple, d[\"key\"]$~ v on a #(…)	zymbol-interpreter/src/collection_ops.rs:499	runtime-collection-ops/update-writes-into-a-collection-and-this — reach.py cannot count it: the template spans two lines
cell	diagnostic	C3-collection-ops	$~~ count must be an integer, got {:?}	zymbol-interpreter/src/string_ops.rs:87	runtime-collection-ops/replace-count-must-be-an-integer-got
cell	diagnostic	C3-collection-ops	$~~ pattern must be a string or char, got {:?}	zymbol-interpreter/src/string_ops.rs:153	runtime-collection-ops/replace-pattern-must-be-a-string-or
cell	diagnostic	C3-collection-ops	$~~ replacement must be a string, got {:?}	zymbol-interpreter/src/string_ops.rs:67	runtime-collection-ops/replace-replacement-must-be-a-string-got
cell	diagnostic	C3-collection-ops	array update index must be an integer, got {:?}	zymbol-interpreter/src/collection_ops.rs:405	runtime-collection-ops/array-update-index-must-be-an-integer
cell	diagnostic	C3-collection-ops	cannot append to {:?} - only arrays, tuples, and strings support $+	zymbol-interpreter/src/collection_ops.rs:103	runtime-collection-ops/cannot-append-to-only-arrays-tuples-and
cell	diagnostic	C3-collection-ops	cannot get length of {:?} - only arrays, tuples, and strings have length	zymbol-interpreter/src/collection_ops.rs:64	runtime-collection-ops/cannot-get-length-of-only-arrays-tuples
cell	diagnostic	C3-collection-ops	cannot index into {:?} during deep update	zymbol-interpreter/src/collection_ops.rs:1260	runtime-collection-ops/cannot-index-into-during-deep-update
cell	diagnostic	C3-collection-ops	cannot modify tuple '{}': tuples are immutable\nhelp: use 'new = {}[i]$~ value' for a functional update	zymbol-interpreter/src/variables.rs:22	runtime-collection-ops/cannot-modify-tuple-tuples-are-immutable — reach.py cannot count it: the template spans two lines
cell	diagnostic	C3-collection-ops	cannot remove from {:?} - only arrays, tuples, and strings support $-[i]	zymbol-interpreter/src/collection_ops.rs:244	runtime-collection-ops/cannot-remove-from-only-arrays-tuples-and
cell	diagnostic	C3-collection-ops	cannot search {:?} - only arrays, tuples, and strings support contains	zymbol-interpreter/src/collection_ops.rs:311	runtime-collection-ops/cannot-search-only-arrays-tuples-and-strings
cell	diagnostic	C3-collection-ops	cannot slice {:?} - only arrays, tuples, named tuples, and strings support slice	zymbol-interpreter/src/collection_ops.rs:520	runtime-collection-ops/cannot-slice-only-arrays-tuples-named-tuples
unreachable	diagnostic	C3-collection-ops	cannot update {:?} during deep update	zymbol-interpreter/src/collection_ops.rs:1290	unreachable: deep_update_value reads a step (get_at_step, which refuses the same types) before it writes it, so set_at_idx's `other` arm never runs
unreachable	diagnostic	C3-collection-ops	deep update ($~) does not support ranges in the path	zymbol-compiler/src/lib.rs:3708	unreachable: the parser refuses a `$~` receiver that is not a place (zymbol-parser collection_ops.rs:243) before the compiler sees a range step
cell	diagnostic	C3-collection-ops	named tuple update index must be an integer or field name (string), got {:?}	zymbol-interpreter/src/collection_ops.rs:490	runtime-collection-ops/named-tuple-update-index-must-be-an
cell	diagnostic	C3-collection-ops	remove index must be an integer, got {:?}	zymbol-interpreter/src/collection_ops.rs:150	runtime-collection-ops/remove-index-must-be-an-integer-got
cell	diagnostic	C3-collection-ops	replacement count must be non-negative, got {}	zymbol-interpreter/src/string_ops.rs:79	runtime-collection-ops/replacement-count-must-be-non-negative-got
cell	diagnostic	C3-collection-ops	slice end must be an integer, got {:?}	zymbol-interpreter/src/collection_ops.rs:551	runtime-collection-ops/slice-end-must-be-an-integer-got
cell	diagnostic	C3-collection-ops	slice indices out of bounds: [{}..{}] for collection of length {}	zymbol-interpreter/src/collection_ops.rs:586	runtime-collection-ops/slice-indices-out-of-bounds-for-collection
cell	diagnostic	C3-collection-ops	slice start ({}) cannot be greater than end ({})	zymbol-interpreter/src/collection_ops.rs:596	runtime-collection-ops/slice-start-cannot-be-greater-than-end
cell	diagnostic	C3-collection-ops	slice start must be an integer, got {:?}	zymbol-interpreter/src/collection_ops.rs:535	runtime-collection-ops/slice-start-must-be-an-integer-got
cell	diagnostic	C3-collection-ops	string contains only supports char or string search, got {:?}	zymbol-interpreter/src/collection_ops.rs:302	runtime-collection-ops/string-contains-only-supports-char-or-string
cell	diagnostic	C3-collection-ops	tuple update index must be an integer, got {:?}	zymbol-interpreter/src/collection_ops.rs:418	runtime-collection-ops/tuple-update-index-must-be-an-integer
unreachable	diagnostic	C3-collection-ops	update operator ($~) requires a place to write like arr[i]$~ val, arr[i>j]$~ val or d.key$~ val	zymbol-interpreter/src/collection_ops.rs:370	unreachable: the same parser rule refuses a non-place receiver before the tree-walker's runtime check
cell	diagnostic	C4-index-nav-dict	a String navigation step addresses a dictionary key, and this is {}	zymbol-interpreter/src/index_nav.rs:219	runtime-index-nav/a-string-navigation-step-addresses-a-dictionary
cell	diagnostic	C4-index-nav-dict	a dictionary is addressed by key, not by position: `{}` has no meaning here\nhelp: use the key — d[\"{}\"], d[\"{}\"]$~ value, d$-[\"{}\"] — because adding a key changes what sits at each position	zymbol-interpreter/src/collection_ops.rs:47	runtime-index-nav/a-dictionary-is-addressed-by-key-not — reach.py cannot count it: the template spans two lines
cell	diagnostic	C4-index-nav-dict	a dictionary is addressed by key, not by position\nhelp: use d[\"{}\"] — adding a key changes what sits at each position	zymbol-interpreter/src/expr_eval.rs:384	runtime-index-nav/a-dictionary-is-addressed-by-key-not-2 — reach.py cannot count it: the template spans two lines
cell	diagnostic	C4-index-nav-dict	a dictionary is asked about a key, so `$?` needs a String, got {:?}	zymbol-interpreter/src/collection_ops.rs:279	runtime-index-nav/a-dictionary-is-asked-about-a-key
cell	diagnostic	C4-index-nav-dict	a navigation step is a position (Int) or a dictionary key (String), got {:?}	zymbol-interpreter/src/collection_ops.rs:339	runtime-index-nav/a-navigation-step-is-a-position-int
unreachable	diagnostic	C4-index-nav-dict	a navigation step is a position or a key, got {:?}	zymbol-interpreter/src/collection_ops.rs:1222	unreachable: deep_update_value validates the step with get_at_step (the message of #5) before set_at_step can see it
cell	diagnostic	C4-index-nav-dict	a positional tuple is addressed by position, not by name: '{}'\nhelp: use t[1] — names live in a dictionary, #(key: value)	zymbol-interpreter/src/expr_eval.rs:230	runtime-index-nav/a-positional-tuple-is-addressed-by-position — reach.py cannot count it: the template spans two lines
cell	diagnostic	C4-index-nav-dict	cannot index into {:?} — expected array, tuple, or string	zymbol-interpreter/src/index_nav.rs:269	runtime-index-nav/cannot-index-into-expected-array-tuple-or
cell	diagnostic	C4-index-nav-dict	cannot index {:?} - only arrays, tuples, and strings are indexable	zymbol-interpreter/src/expr_eval.rs:483	runtime-index-nav/cannot-index-only-arrays-tuples-and-strings
cell	diagnostic	C4-index-nav-dict	index 0 is invalid — Zymbol uses 1-based indexing	zymbol-interpreter/src/collection_ops.rs:161	runtime-index-nav/index-0-is-invalid-zymbol-uses-1
cell	diagnostic	C4-index-nav-dict	index must be an integer, got {:?}	zymbol-interpreter/src/expr_eval.rs:396	runtime-index-nav/index-must-be-an-integer-got
cell	diagnostic	C4-index-nav-dict	index out of bounds: index {} for array of length {}	zymbol-interpreter/src/collection_ops.rs:171	runtime-index-nav/index-out-of-bounds-index-for-array
unreachable	diagnostic	C4-index-nav-dict	index out of bounds: index {} for named tuple of length {}	zymbol-interpreter/src/collection_ops.rs:213	unreachable: `$-[n]` on a dictionary returns dict_not_positional before the named-tuple bounds check (collection_ops.rs:138)
cell	diagnostic	C4-index-nav-dict	index out of bounds: index {} for string of length {}	zymbol-interpreter/src/collection_ops.rs:235	runtime-index-nav/index-out-of-bounds-index-for-string
cell	diagnostic	C4-index-nav-dict	index out of bounds: index {} for tuple of length {}	zymbol-interpreter/src/collection_ops.rs:192	runtime-index-nav/index-out-of-bounds-index-for-tuple
cell	diagnostic	C4-index-nav-dict	index out of bounds: {} for collection of length {}	zymbol-interpreter/src/collection_ops.rs:1306	runtime-index-nav/index-out-of-bounds-for-collection-of
